name,id,age,address,email,pregnant,several,disabled,oxigen
Whitney Edwards,1886990321,37,Piedecuesta,whitneyedwards8454@gmail.com,7,2,2,4
Colette Bowers,1009826346,32,Duitama,colettebowers6281@hotmail.com,2,3,2,5
Holmes Petersen,1656511195,71,Alto Baudó,holmespetersen@hotmail.com,3,1,2,0
Catherine Wolf,1449253352,43,Istmina,catherinewolf@hotmail.com,5,1,4,1
Forrest Patrick,1790968478,67,Alto Baudó,forrestpatrick@outlook.com,3,3,9,10
Alan Roy,1335321843,62,Florencia,alanroy9335@outlook.com,9,2,0,2
Keelie Webster,1171318066,28,Yopal,keeliewebster1183@outlook.com,0,8,1,9
Evelyn Mckenzie,1892602819,89,San Andrés,evelynmckenzie@hotmail.com,5,2,5,8
Blossom Santana,1524917104,83,Puerto López,blossomsantana@gmail.com,3,6,0,3
Nichole Mayo,1258975150,72,Puerto López,nicholemayo8131@outlook.com,6,0,7,5
Walker Glass,1049983236,37,Santa Cruz de Lorica,walkerglass2299@outlook.com,5,0,5,5
Bert Schroeder,1986127848,45,Barrancabermeja,bertschroeder4237@gmail.com,6,4,10,4
Sydnee Welch,1945893571,81,Riosucio,sydneewelch5615@hotmail.com,2,4,8,9
Lavinia Vincent,1463425201,12,Bello,laviniavincent2975@outlook.com,5,8,2,10
Brooke Phelps,1443141783,33,Montelíbano,brookephelps@outlook.com,6,7,6,8
Gareth Burnett,1124434761,29,Garzón,garethburnett@yahoo.com,10,9,6,0
Kylan Woodard,1022773216,23,Bogotá,kylanwoodard@gmail.com,6,2,3,4
Knox Wilson,1255262409,50,La Tebaida,knoxwilson@gmail.com,6,6,10,5
Ella Jenkins,1094092420,29,Montenegro,ellajenkins5102@yahoo.com,5,4,9,2
Hyatt Battle,1767822751,59,Cereté,hyattbattle7037@gmail.com,1,3,6,2
Tanya Lang,1808235452,12,Chiquinquirá,tanyalang421@yahoo.com,9,8,9,0
Amber Baxter,1284121105,62,Quibdó,amberbaxter3672@yahoo.com,5,10,1,7
Kiayada Boyle,1545085680,90,Agustín Codazzi,kiayadaboyle@gmail.com,10,6,0,2
Caldwell Velazquez,1087509653,42,Cúcuta,caldwellvelazquez8534@gmail.com,6,3,2,0
Jamalia Maldonado,1345831091,68,Calamar,jamaliamaldonado@hotmail.com,10,5,1,1
Autumn Levy,1152514356,16,Tumaco,autumnlevy5008@yahoo.com,8,7,1,7
Mariko Morse,1183819236,71,Barranco Minas,marikomorse2526@hotmail.com,3,8,2,8
Arsenio Miranda,1729591165,66,Santander de Quilichao,arseniomiranda6900@hotmail.com,10,6,7,7
Glenna Bowman,1787580832,87,Piedecuesta,glennabowman@outlook.com,3,6,8,7
Farrah Wolf,1486920357,27,Calarcá,farrahwolf@outlook.com,7,8,7,7
Jerome Gordon,1536066473,89,Cali,jeromegordon9591@outlook.com,3,3,1,3
Wade Buckley,1270202165,71,Ipiales,wadebuckley3307@hotmail.com,4,0,8,6
Griffin Ford,1658580516,25,San Vicente del Caguán,griffinford@yahoo.com,5,9,8,4
Velma Stevenson,1973423277,78,Maicao,velmastevenson@gmail.com,10,2,2,1
Jamal Marquez,1855016699,80,Barranco Minas,jamalmarquez8298@gmail.com,6,0,3,6
Jasper Stephenson,1390465703,25,Tumaco,jasperstephenson@gmail.com,3,4,6,5
Ryder Harrell,1916818859,2,Popayán,ryderharrell9161@gmail.com,0,8,8,1
Dale Dyer,1223369579,50,Soledad,daledyer@gmail.com,3,8,9,1
Wang Kemp,1995149980,68,Buenaventura,wangkemp@gmail.com,4,2,0,4
Noelani Reese,1609446259,58,Ibagué,noelanireese@outlook.com,8,5,6,7
Madeline Orr,1883665176,20,Cereté,madelineorr8349@outlook.com,4,8,4,4
Grant Lester,1742313467,60,Aguachica,grantlester@yahoo.com,1,6,10,6
Mara Foley,1545722481,4,Manaure,marafoley890@yahoo.com,9,2,5,5
Dale Garner,1245694252,68,Cartagena del Chairá,dalegarner@gmail.com,5,7,5,8
Byron Lewis,1001138133,72,Puerto Guzmán,byronlewis@gmail.com,3,7,2,7
Geoffrey Gibbs,1517899407,19,Inírida,geoffreygibbs3788@gmail.com,7,9,7,1
Jillian Burton,1292681784,56,San Andrés,jillianburton3336@hotmail.com,3,3,2,5
Petra Garcia,1184133579,33,El Retorno,petragarcia@outlook.com,4,1,1,7
Donovan Irwin,1631106496,73,Chía,donovanirwin7537@outlook.com,4,1,8,1
Nissim Mckenzie,1887182381,86,El Tambo,nissimmckenzie9675@outlook.com,9,9,4,3
Seth Dejesus,1990413769,32,Mocoa,sethdejesus@hotmail.com,4,6,2,9
Brenden Mccarthy,1162226649,84,Bogotá,brendenmccarthy8290@yahoo.com,8,1,6,3
Madison Mcintosh,1468026601,47,Neiva,madisonmcintosh6146@yahoo.com,6,9,6,5
Tanner Fischer,1823991989,62,Cartagena del Chairá,tannerfischer5595@yahoo.com,3,9,4,4
Harding Jacobson,1318913040,68,San Andrés,hardingjacobson@gmail.com,6,1,1,4
Jamal Lynn,1037593897,42,Malambo,jamallynn8690@gmail.com,8,2,4,5
Faith Walters,1347741213,45,Barranco Minas,faithwalters@hotmail.com,6,5,1,6
Xyla Hart,1065134470,34,Manizales,xylahart5144@outlook.com,0,2,6,4
Tanek Manning,1816816579,52,Pacoa,tanekmanning6734@outlook.com,9,3,7,7
Bethany Lang,1174488202,25,El Tambo,bethanylang6140@hotmail.com,2,0,1,2
Jacqueline Curtis,1366809178,4,Paz de Ariporo,jacquelinecurtis5488@hotmail.com,3,8,4,9
Aquila Wheeler,1491353009,22,Magangué,aquilawheeler@hotmail.com,3,2,5,3
Riley Suarez,1091154117,61,Quibdó,rileysuarez@gmail.com,2,7,5,3
Dean Shaffer,1772821302,42,Montería,deanshaffer@gmail.com,8,0,1,0
Kieran Benjamin,1055810488,4,Alto Baudó,kieranbenjamin@yahoo.com,0,1,0,1
Aspen Preston,1244184629,27,Calamar,aspenpreston5284@yahoo.com,4,3,6,3
Dean Sherman,1911063696,40,Pamplona,deansherman8440@gmail.com,1,8,5,0
Ariana Meyers,1615108005,20,Ibagué,arianameyers4090@outlook.com,6,8,2,7
Tasha Jennings,1167642673,26,Santa Cruz de Lorica,tashajennings@outlook.com,4,5,4,3
Chaney Todd,1191807753,58,Aguazul,chaneytodd@hotmail.com,5,7,6,2
Anika Cook,1828246998,46,Valledupar,anikacook537@hotmail.com,10,6,3,2
Jin Lowery,1783927887,20,Chiquinquirá,jinlowery9578@outlook.com,1,1,6,8
Leslie King,1968030038,64,San Andrés,leslieking@yahoo.com,1,6,1,3
Jillian Browning,1346620804,29,Montenegro,jillianbrowning@yahoo.com,6,6,5,2
Merrill Hodge,1269743685,80,Mocoa,merrillhodge5760@outlook.com,6,4,6,4
Perry Stokes,1597222499,29,Puerto Nariño,perrystokes7845@gmail.com,4,6,2,8
Edward Trujillo,1770931023,76,Buenaventura,edwardtrujillo9848@outlook.com,1,7,0,9
Sawyer Leach,1861289887,5,Riosucio,sawyerleach6861@hotmail.com,7,4,1,4
Idona Rojas,1932039341,21,Puerto Colombia,idonarojas4042@gmail.com,6,9,2,2
David Daniels,1203825613,78,Mocoa,daviddaniels@outlook.com,8,4,7,4
Belle Stokes,1204781169,71,Tuluá,bellestokes@outlook.com,3,9,2,0
Angela Hogan,1382139359,50,Saravena,angelahogan@outlook.com,5,1,0,1
Velma Harris,1329155123,13,Mitú,velmaharris@hotmail.com,3,5,5,6
Xaviera Wilcox,1210933783,27,Soledad,xavierawilcox6578@yahoo.com,5,8,7,0
Jamalia Hayden,1380042890,73,Riosucio,jamaliahayden9859@yahoo.com,5,6,8,1
Raja English,1021142714,25,Agustín Codazzi,rajaenglish@yahoo.com,0,5,0,7
Charlotte Tanner,1945634288,49,San Juan de Girón,charlottetanner@gmail.com,6,8,0,2
Beau Farmer,1963368995,66,Dosquebradas,beaufarmer@gmail.com,9,2,4,1
Joshua Gordon,1304759646,16,Bogotá,joshuagordon@gmail.com,10,2,8,7
Harper Tillman,1458241706,17,San Marcos,harpertillman6528@hotmail.com,8,6,2,5
